lighting_type_id,description,source,type,id,unit
281,"LED lamp, interior, PAR30, 15 watt, equal to 100 watt",rs-means,Unit,180373,Ea
282,"LED lamp 50 watt, w 6ft pri",rs-means,Unit,180374,Ea
283,LED 11 watt dimmable warm white,rs-means,Unit,180375,Ea
284,LED 13 watt dimmable warm white,rs-means,Unit,180376,Ea
285,"LED 9 watt 3500K strip replacement for T8 2 ft linear, frosted",rs-means,Unit,180377,Ea
286,"LED 9 watt 4000K strip replacement for T8 2 ft linear, frosted",rs-means,Unit,180378,Ea
287,"LED 9 watt 5000K strip replacement for T8 2 ft linear, frosted",rs-means,Unit,180379,Ea
288,"LED 18 watt 4000K strip replacement for T8 4 ft linear, frosted",rs-means,Unit,180380,Ea
289,"LED 18 watt 5000K strip replacement for T8 4 ft linear, frosted",rs-means,Unit,180381,Ea
400,Lighting Control  Module,rs-means,Unit,180382,Ea
401,Remote Power Pack,rs-means,Unit,180383,Ea
402,"Occupancy Sensor, passive infrared ceiling mount",rs-means,Unit,180384,Ea
403,"Occupancy Sensor, ultrasonic ceiling mount",rs-means,Unit,180385,Ea
404,"Occupancy Sensor, dual technology ceiling mount",rs-means,Unit,180386,Ea
405,Automatic wall Switch,rs-means,Unit,180387,Ea
406,"Daylight sensor, manual control ceiling mount",rs-means,Unit,180388,Ea
407,"Daylight sensor, ceiling mount, remote with dimming and remote controller",rs-means,Unit,180389,Ea
408,"Daylight sensor,wall mount on/off with dimming",rs-means,Unit,180390,Ea
290,"LED lamp, 17 W LED PAR 38 100 W replacement parabolic reflector ",rs-means,Unit,180376,Ea
