construction_opaque_id,surface_type,construction_type_name,author,old_type_code,intended_surface_type,standards_construction_type,type_index,climate_zone,rsi_k_m2_per_w,description,material_opaque_id_layers,material_desciptions,Code
52,ROOF,BTAP-ExteriorRoof-Metal-1,BTAP,5,ExteriorRoof,Metal,1,Zone 7A,6.17,"Steel Roofing, painted galvanized ","95,96,97,80,80,150,97","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Plywood underlayment 0.75' thick
",NECB_2011
53,ROOF,BTAP-ExteriorRoof-Metal-1,BTAP,5,ExteriorRoof,Metal,1,Zone 7B,6.17,"Steel Roofing, painted galvanized ","95,96,97,80,80,150,97","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Plywood underlayment 0.75' thick
",NECB_2011
54,ROOF,BTAP-ExteriorRoof-Metal-1,BTAP,5,ExteriorRoof,Metal,1,Zone 8,7.04,"Steel Roofing, painted galvanized ","95,96,80,80,57,97","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 2"" RSI 1.76
Plywood underlayment 0.75' thick
",NECB_2011
55,ROOF,BTAP-ExteriorRoof-Metal-2,BTAP,7,ExteriorRoof,Metal,2,Zone 4,4.41,"Steel Roofing, painted galvanized Attic Insulation","95,96,57,80,3,1","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 3"" RSI 2.64
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
56,ROOF,BTAP-ExteriorRoof-Metal-2,BTAP,7,ExteriorRoof,Metal,2,Zone 5,5.46,"Steel Roofing, painted galvanized Attic Insulation","95,96,97,134,134,3,1","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
57,ROOF,BTAP-ExteriorRoof-Metal-2,BTAP,7,ExteriorRoof,Metal,2,Zone 6,5.46,"Steel Roofing, painted galvanized Attic Insulation","95,96,97,134,134,3,1","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
58,ROOF,BTAP-ExteriorRoof-Metal-2,BTAP,7,ExteriorRoof,Metal,2,Zone 7A,6.17,"Steel Roofing, painted galvanized Attic Insulation","95,96,97,80,80,150,3,1","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
59,ROOF,BTAP-ExteriorRoof-Metal-2,BTAP,7,ExteriorRoof,Metal,2,Zone 7B,6.17,"Steel Roofing, painted galvanized Attic Insulation","95,96,97,80,80,150,3,1","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
60,ROOF,BTAP-ExteriorRoof-Metal-2,BTAP,7,ExteriorRoof,Metal,2,Zone 8,7.04,"Steel Roofing, painted galvanized Attic Insulation","95,96,97,80,80,57,3,1","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 2"" RSI 1.76
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
61,WALLS,BTAP-ExteriorWall-Mass-1,BTAP,7,ExteriorWall,Mass,1,Zone 4,3.18,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall","1,138,3,4,5,6,24,25,26,27,28","gypsum wallboard 0.5 in thick
Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate
polyethylene 4 ml vapour barrier
foil face fibreglass batts, 5"" thick, 15"" wide, RSI 3.36
plywood sheathing, CDX, 0.5 in, pneumatic nailer
weather barrier, spunbonded polyethylene
Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
",NECB_2011
62,WALLS,BTAP-ExteriorWall-Mass-1,BTAP,7,ExteriorWall,Mass,1,Zone 5,3.6,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall","1,138,3,4,5,6,54,24,25,26,27,28","gypsum wallboard 0.5 in thick
Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate
polyethylene 4 ml vapour barrier
foil face fibreglass batts, 5"" thick, 15"" wide, RSI 3.36
plywood sheathing, CDX, 0.5 in, pneumatic nailer
weather barrier, spunbonded polyethylene
0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)
Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
",NECB_2011
63,WALLS,BTAP-ExteriorWall-Mass-1,BTAP,7,ExteriorWall,Mass,1,Zone 6,4.05,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall","1,138,3,43,6,56,24,25,26,27,28","gypsum wallboard 0.5 in thick
Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate
polyethylene 4 ml vapour barrier
fibreglass batts, 6 in thick RSI 3.35
weather barrier, spunbonded polyethylene
Isoboard, 1"" thick, RSI .98
Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
",NECB_2011
64,WALLS,BTAP-ExteriorWall-Mass-1,BTAP,7,ExteriorWall,Mass,1,Zone 7A,4.76,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall","1,138,3,53,6,56,24,25,26,27,28","gypsum wallboard 0.5 in thick
Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate
polyethylene 4 ml vapour barrier
foil face fibreglass batts, 6 "" thick, 15"" wide, RSI 3.52
weather barrier, spunbonded polyethylene
Isoboard, 1"" thick, RSI .98
Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
",NECB_2011
65,WALLS,BTAP-ExteriorWall-Mass-1,BTAP,7,ExteriorWall,Mass,1,Zone 7B,4.76,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall","1,138,3,53,6,56,24,25,26,27,28","gypsum wallboard 0.5 in thick
Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate
polyethylene 4 ml vapour barrier
foil face fibreglass batts, 6 "" thick, 15"" wide, RSI 3.52
weather barrier, spunbonded polyethylene
Isoboard, 1"" thick, RSI .98
Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
",NECB_2011
66,WALLS,BTAP-ExteriorWall-Mass-1,BTAP,7,ExteriorWall,Mass,1,Zone 8,5.46,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall","1,138,3,53,6,63,24,25,26,27,28","gypsum wallboard 0.5 in thick
Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate
polyethylene 4 ml vapour barrier
foil face fibreglass batts, 6 "" thick, 15"" wide, RSI 3.52
weather barrier, spunbonded polyethylene
Isoboard, 1.5"" thick, RSI 1.38
Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
",NECB_2011
67,WALLS,BTAP-ExteriorWall-Mass-2,BTAP,8,ExteriorWall,Mass,2,Zone 4,3.18,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
68,WALLS,BTAP-ExteriorWall-Mass-2,BTAP,8,ExteriorWall,Mass,2,Zone 5,3.6,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
69,WALLS,BTAP-ExteriorWall-Mass-2,BTAP,8,ExteriorWall,Mass,2,Zone 6,4.05,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,150,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
70,WALLS,BTAP-ExteriorWall-Mass-2,BTAP,8,ExteriorWall,Mass,2,Zone 7A,4.76,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,150,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
72,WALLS,BTAP-ExteriorWall-Mass-2,BTAP,8,ExteriorWall,Mass,2,Zone 8,5.46,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,57,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
73,WALLS,BTAP-ExteriorWall-Mass-3,BTAP,9,ExteriorWall,Mass,3,Zone 4,3.18,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
74,WALLS,BTAP-ExteriorWall-Mass-3,BTAP,9,ExteriorWall,Mass,3,Zone 5,3.6,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
75,WALLS,BTAP-ExteriorWall-Mass-3,BTAP,9,ExteriorWall,Mass,3,Zone 6,4.05,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,150,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
76,WALLS,BTAP-ExteriorWall-Mass-3,BTAP,9,ExteriorWall,Mass,3,Zone 7A,4.76,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,150,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
77,WALLS,BTAP-ExteriorWall-Mass-3,BTAP,9,ExteriorWall,Mass,3,Zone 7B,4.76,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,150,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
78,WALLS,BTAP-ExteriorWall-Mass-3,BTAP,9,ExteriorWall,Mass,3,Zone 8,5.46,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,57,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
79,WALLS,BTAP-ExteriorWall-Mass-4,BTAP,10,ExteriorWall,Mass,4,Zone 4,3.18,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
80,WALLS,BTAP-ExteriorWall-Mass-4,BTAP,10,ExteriorWall,Mass,4,Zone 5,3.6,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
81,WALLS,BTAP-ExteriorWall-Mass-4,BTAP,10,ExteriorWall,Mass,4,Zone 6,4.05,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,150,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
82,WALLS,BTAP-ExteriorWall-Mass-4,BTAP,10,ExteriorWall,Mass,4,Zone 7A,4.76,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,150,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
84,WALLS,BTAP-ExteriorWall-Mass-4,BTAP,10,ExteriorWall,Mass,4,Zone 8,5.46,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,57,57,57,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
85,WALLS,BTAP-ExteriorWall-Mass-5,BTAP,11,ExteriorWall,Mass,5,Zone 4,3.18,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
86,WALLS,BTAP-ExteriorWall-Mass-5,BTAP,11,ExteriorWall,Mass,5,Zone 5,3.6,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Exterior Brick veneer wall","24,25,26,27,28,40,40,158,20,21,139,141","Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout
masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally
masonry #5 and #6 reinforcing bars placed vertically
Control joint, PVC
Grout, 8"" thick including pumping
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar
Lintel angle, structural, unpainted, under 500 lb., shop fabricated
Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends
Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""
",NECB_2011
