sheets,columns,Skip?
Lookups,Standards Construction Type Lookup,
Lookups,Unnamed: 4,
Lookups,Building Type Lookup,
Lookups,Unnamed: 6,
Lookups,Space Type Lookup,
Lookups,Unnamed: 8,
Lookups,Lighting Standards Lookup,
Lookups,Unnamed: 10,
Lookups,Ventilation Standards Lookup,
Lookups,Unnamed: 12,
Lookups,Material Type Lookup,
Lookups,Unnamed: 14,
Lookups,Construction Category Lookup,
Lookups,Orientation Lookup,
Materials,Name,
Materials,Material Type,
Materials,Roughness,
Materials,Thickness (in),
Materials,Conductivity (Btu*in/hr*ft^2*F),
Materials,Resistance (hr*ft^2*F/Btu),
Materials,Density (lb/ft^3),
Materials,Specific Heat (Btu/lbm*F),
Materials,Thermal Absorptance,
Materials,Solar Absorptance,
Materials,Visible Absorptance,
Materials,Gas Type,
Materials,U-Factor (Btu/hr*ft^2*F),
Materials,Solar Heat Gain Coefficient,
Materials,Visible Transmittance,
Materials,Optical Data Type,
Materials,Solar Transmittance At Normal Incidence,
Materials,Front Side Solar Reflectance At Normal Incidence,
Materials,Back Side Solar Reflectance At Normal Incidence,
Materials,Visible Transmittance At Normal Incidence,
Materials,Front Side Visible Reflectance At Normal Incidence,
Materials,Back Side Visible Reflectance At Normal Incidence,
Materials,Infrared Transmittance At Normal Incidence,
Materials,Front Side Infrared Hemispherical Emissivity,
Materials,Back Side Infrared Hemispherical Emissivity,
Materials,Dirt Correction Factor For Solar And Visible Transmittance,
Materials,Solar Diffusing,
Materials,Frame width (in),
Materials,Material Standard,
Materials,Material Standard Source,
Materials,Code Category,
Materials,Code Identifier,
Materials,Framing Material,
Materials,Framing Configuration,
Materials,Framing Depth,
Materials,Framing Size,
Materials,Cavity Insulation (hr*ft^2*F/Btu),YES
Materials,Notes,
Parking,Building Type,
Parking,Building Area Per Spot,
Parking,Units Per Spot,YES
Parking,Students Per Spot,
Parking,Beds Per Spot,
Parking,Parking Area Per Spot (ft^2),
Parking,Notes,
Prototype Inputs,Template,
Prototype Inputs,Building Type,
Prototype Inputs,HVAC System,
Prototype Inputs,Geometry OSM,
Prototype Inputs,HVAC JSON,
Prototype Inputs,CHW Pumping Type,
Prototype Inputs,CHW Number Chillers,
Prototype Inputs,Chiller Cooling Type,
Prototype Inputs,Chiller Condenser Type,
Prototype Inputs,Chiller Compressor Type,
Prototype Inputs,Chiller Capacity Guess (Tons),
Prototype Inputs,PSZAC Cooling Type,YES
Prototype Inputs,PSZAC Heating Type,YES
Prototype Inputs,PSZAC Fan Type,
Prototype Inputs,PSZAC Supplemental Heating Type,
Prototype Inputs,PSZAC Operation Schedule,
Prototype Inputs,PSZAC OA Damper Schedule,
Prototype Inputs,PSZAC Operation Schedule 2,
Prototype Inputs,PSZAC OA Damper Schedule 2,
Prototype Inputs,PSZAC Operation Schedule 3,
Prototype Inputs,PSZAC OA Damper Schedule 3,YES
Prototype Inputs,Occ Sensing Exterior Lighting Power (W),
Prototype Inputs,Occ Sensing Exterior Lighting Schedule,
Prototype Inputs,NonDimming Exterior Lighting Power (W),
Prototype Inputs,NonDimming Exterior Lighting Schedule,YES
Prototype Inputs,Building Area Method LPD (W/ft^2),
Prototype Inputs,Exterior Fuel Equipment1 Power (W),
Prototype Inputs,Exterior Fuel Equipment1 Schedule,
Prototype Inputs,Exterior Fuel Equipment2 Power (W),
Prototype Inputs,Exterior Fuel Equipment2 Schedule,
Prototype Inputs,Main Water Heater Volume (gal),
Prototype Inputs,Main Water Heater Fuel,
Prototype Inputs,Main Water Heater Capacity (Btu/hr),
Prototype Inputs,Main Service Water Temperature (F),
Prototype Inputs,Main Service Water FlowRate Schedule,
Prototype Inputs,Main Water Heater Space Name,
Prototype Inputs,Main Service Water Peak FlowRate (gal/min),
Prototype Inputs,Main Off Cycle Parasitic Heat Fraction to Tank,
Prototype Inputs,Other Off Cycle Parasitic Heat Fraction to Tank,
Prototype Inputs,Main Water Use Temperature (F),
Prototype Inputs,Main Service Water Temperature at Fixture (F),
Prototype Inputs,Main Service Water Pump Head (Pa),
Prototype Inputs,Main Service Water Pump Motor Efficiency (%),
Prototype Inputs,Main Service Water Parasitic Fuel Consumption Rate (Btu/h),
Prototype Inputs,Laundry Water Heater Volume (gal),
Prototype Inputs,Laundry Water Heater Fuel,
Prototype Inputs,Laundry Water Heater Capacity (Btu/hr),
Prototype Inputs,Laundry Service Water Temperature (F),
Prototype Inputs,Laundry Service Water FlowRate Schedule,
Prototype Inputs,Laundry Service Water Peak FlowRate (gal/min),
Prototype Inputs,Laundry Water Use Temperature (F),
Prototype Inputs,Laundry Service Water Temperature at Fixture (F),
Prototype Inputs,Laundry Service Water Pump Head (Pa),
Prototype Inputs,Laundry Service Water Pump Motor Efficiency (%),
Prototype Inputs,Laundry Service Water Parasitic Fuel Consumption Rate (Btu/h),
Prototype Inputs,Booster Water Heater Volume (gal),
Prototype Inputs,Booster Water Heater Fuel,
Prototype Inputs,Booster Water Heater Capacity (Btu/hr),
Prototype Inputs,Booster Inlet Water Temperature (F),
Prototype Inputs,Booster Service Water FlowRate Schedule,
Prototype Inputs,Booster Water Heater Space Name,
Prototype Inputs,Booster Service Water Peak FlowRate (gal/min),
Prototype Inputs,Booster Water Use Temperature (F),
Prototype Inputs,Booster Water Temperature (F),
Prototype Inputs,Booster Service Water Parasitic Fuel Consumption Rate (Btu/h),
Prototype Inputs,Typical Heating Setpoint,YES
Prototype Inputs,Typical Cooling Setpoint,YES
Prototype Inputs,PTAC Cooling Type,YES
Prototype Inputs,PTAC Heating Type,
Prototype Inputs,PTAC Fan Type,
Prototype Inputs,PTAC Operation Schedule,
Prototype Inputs,PTAC OA Damper Schedule,
Prototype Inputs,SAC Cooling Type,
Prototype Inputs,SAC Heating Type,
Prototype Inputs,SAC Fan Type,
Prototype Inputs,SAC Operation Schedule,
Prototype Inputs,SAC Operation Schedule Meeting,
Prototype Inputs,SAC OA Damper Schedule,
Prototype Inputs,UnitHeater Heating Type,
Prototype Inputs,UnitHeater Fan Type,
Prototype Inputs,UnitHeater Fan Control Type,
Prototype Inputs,UnitHeater Fan Static Pressure (inH20),
Prototype Inputs,UnitHeater Operation Schedule,
Prototype Inputs,VAV Operation Schedule,
Prototype Inputs,VAV OA Damper Schedule,
Prototype Inputs,VAV Fan Efficiency,
Prototype Inputs,VAV Fan Pressure Rise (Pa),
Prototype Inputs,VAV Fan Motor Efficiency,
Prototype Inputs,DOAS Fan Maximum Flow Rate (cfm),
Prototype Inputs,DOAS OA Damper Schedule,
Prototype Inputs,DOAS Economizer Control Type,
Prototype Inputs,Elevator Type,
Prototype Inputs,Number of Elevators,
Prototype Inputs,Elevator Schedule,
Prototype Inputs,Elevator Fan Schedule,
Prototype Inputs,Nonmetal Framing (%),
Prototype Inputs,CRAC Cooling Type,
Prototype Inputs,CRAC Fan Type,
Prototype Inputs,CRAC Operation Schedule,
Prototype Inputs,CRAC OA Damper Schedule,
Size Category,Template,
Size Category,Building Category,
Size Category,Minimum Floors,
Size Category,Maximum Floors,
Size Category,Minimum Area,
Size Category,Maximum Area,
Size Category,Size Category,
Standards,Name,
Templates,Name,YES
Templates,Notes,YES
