sheets,columns,Skip?
Refrigeration Condenser,Size Category,
Refrigeration Condenser,Subcool T,
Refrigeration Condenser,HeatRejectionCurve_C1,
Refrigeration Condenser,Min Airflow,
Refrigeration Condenser,Fan Power per Q Rejected,
Refrigeration Condenser,Fan Speed Control,
Refrigeration Condenser,Notes,
Refrigeration Compressors,Template,
Refrigeration Compressors,Compressor Name,
Refrigeration Compressors,Compressor Type,
Refrigeration Compressors,Power Curve,
Refrigeration Compressors,Capacity Curve,
Refrigeration Compressors,Rated capacity,
Refrigeration Compressors,Notes,
Economizers,Template,
Economizers,Climate Zone,
Economizers,Data Center,
Economizers,Capacity Limit (Btu/hr),
Economizers,Notes,
Curves,Name,
Curves,Category,
Curves,Form,
Curves,Dependent Variable,
Curves,Independent Variable 1,
Curves,Independent Variable 2,
Curves,coeff_1,
Curves,coeff_2,
Curves,coeff_3,
Curves,coeff_4,
Curves,coeff_5,
Curves,coeff_6,
Curves,coeff_7,
Curves,coeff_8,
Curves,coeff_9,
Curves,coeff_10,
Curves,Minimum Independent Variable 1,
Curves,Maximum Independent Variable 1,
Curves,Minimum Independent Variable 2,
Curves,Maximum Independent Variable 2,
Curves,Minimum Dependent Variable Output,
Curves,Maximum Dependent Variable Output,
Curves,notes,
Fans,Name,
Fans,Type,
Fans,Pressure Rise (inH2O),
Fans,Fan Efficiency (fraction),
Fans,Motor Efficiency (fraction),
Fans,Motor In Airstream Fraction,
Fans,Fan Power Minimum Flow Rate Fraction,
Fans,Fan Power Minimum Flow Rate Input Method,
Fans,Fan Curve,
Fans,Notes,
Motors,Template,
Motors,Number of Poles,
Motors,Type,
Motors,Synchronous Speed (RPM),
Motors,Minimum Capacity (HP),
Motors,Maximum Capacity (HP),
Motors,Nominal Full Load Efficiency (%),
Motors,Notes,
Ground Temperatures,Building Type,
Ground Temperatures,Template,
Ground Temperatures,Climate Zone,
Ground Temperatures,Jan,
Ground Temperatures,Feb,
Ground Temperatures,Mar,
Ground Temperatures,Apr,
Ground Temperatures,May,
Ground Temperatures,Jun,
Ground Temperatures,Jul,
Ground Temperatures,Aug,
Ground Temperatures,Sep,
Ground Temperatures,Oct,
Ground Temperatures,Nov,
Ground Temperatures,Dec,
HVAC Inference,Template,
HVAC Inference,Size Category,
HVAC Inference,Heating Source,
HVAC Inference,Cooling Source,
HVAC Inference,Delivery Type,
HVAC Inference,HVAC System Type,
HVAC Inference,Central Heating Fuel,
HVAC Inference,Zone Heating Fuel,
HVAC Inference,Cooling Fuel,
Size Category,Template,
Size Category,Building Category,
Size Category,Minimum Floors,
Size Category,Maximum Floors,
Size Category,Minimum Area,
Size Category,Maximum Area,
Size Category,Size Category,
Lookups,Unnamed: 0,YES
Lookups,Intended Surface Type Lookup,YES
Lookups,Unnamed: 2,YES
Lookups,Standards Construction Type Lookup,YES
Lookups,Unnamed: 4,YES
Lookups,Building Type Lookup,YES
Lookups,Unnamed: 6,YES
Lookups,Space Type Lookup,YES
Lookups,Unnamed: 8,YES
Lookups,Lighting Standards Lookup,YES
Lookups,Unnamed: 10,YES
Lookups,Ventilation Standards Lookup,YES
Lookups,Unnamed: 12,YES
Lookups,Material Type Lookup,YES
Lookups,Unnamed: 14,YES
Lookups,Construction Category Lookup,YES
Lookups,Orientation Lookup,YES
